cui	definition
C0221423	Sickness
C1261473	Sarcoma
C0231527	Muscular incoordination
C0241357	Testosterone low
C0151996	Uterine fibroids enlarged
C1458155	Breast neoplasm
C0405106	Retained placenta or membranes
C0018946	Subdural haematoma
C0007097	Carcinoma
C0154833	Retinal vascular disorder
C0030920	Peptic ulcer
C0745754	Hepatic granuloma
C0021345	Infectious mononucleosis
C1168188	Intermittent headache
C0860803	Glucose increased
C0010200	Cough
C0269596	Haemorrhage in pregnancy
C0041428	Conjoined twins
C1456822	Claudication
C0311220	Lymphocytoma cutis
C0497481	Penile pain
C0392618	Postoperative infection
C0343495	Lockjaw
C0677658	Breast disorder female
C0853595	Blood cholesterol abnormal
C0085580	Essential hypertension
C1737211	Hypoglycaemic unconsciousness
C0541832	Chromaturia
C0028960	Oligospermia
C0007682	Central nervous system disorder
C0410740	Finger deformity
C0853035	Blood creatinine normal
C1611162	Plateletcrit decreased
C0859290	Black spot
C0425481	Respiratory sighs
C0042267	Vaginal inflammation
C0748023	Bacterial prostatitis
C3665624	Blood calcium decreased
C0149709	Hepatitis B surface antigen positive
C0007193	Congestive cardiomyopathy
C0235398	Diabetes mellitus exacerbated
C0234953	Tongue spasm
C0242785	Drug - food interaction
C1328358	Pedal pulse decreased
C0235893	Allergy aggravated
C0154822	Serous retinal detachment
C1295585	Decreased vibratory sense
C0236075	Menopausal symptoms
C1096393	Body fat disorder
C0242379	Lung neoplasm malignant
C0221742	Serum sickness-like reaction
C0860433	Irreversible renal failure
C0029453	Osteopenia
C0221252	Eruptive xanthoma
C0008626	Cytogenetic abnormality
C1276146	Lymphoma cutis
C0854171	Temperature regulation disorder
C0558368	Vaginal irritation
C0011057	Sudden hearing loss
C0029118	Opportunistic infection
C0032463	Polycythaemia vera
C0549322	Eyelid infection
C0860204	Cholestatic liver disease
C0271298	Chemosis
C0740379	Hydrocortisone decreased
C0277577	Psychic disturbance
C0242784	Food interaction
C0235162	Difficulty sleeping
C0221204	Osteolysis
C0427457	Red blood cell count decreased
C2939186	Mood alteration NOS
C0018520	Breath odour
C0852932	Arthropod sting
C3248383	Logorrhoea
C0035344	Retinopathy of prematurity
C1168174	Absolute neutrophil count decreased
C0860866	Potassium low
C0007384	Cataplexy
C3203466	Acute enterocolitis
C0220982	Ketoacidosis
C1535893	Orthostatic intolerance
C0021775	Intermittent claudication
C0012359	Distention
C0027932	Neurosis
C3160840	Macular pigmentation
C0034887	Rectal polyp
C0041105	Trismus
C1510431	Thrombophlebitis superficial
C2937220	Malformation venous
C0014550	Myoclonic epilepsy
C0578050	Lymph node pain
C0031039	Pericardial effusion
C0034880	Hyperacusis
C0740651	Abdominal symptom
C0007370	Catalepsy
C0005424	Biliary tract disorder
C0151613	Electrolyte abnormality
C0549280	Nausea aggravated
C0018800	Cardiomegaly
C0033775	Anal pruritus
C0476327	Serum amylase increased
C0020505	Hyperphagia
C0014394	Enuresis
C0035127	Repetitive strain injury
C0018188	Granuloma
C0700594	Radiculopathy
C0265935	Congenital arterial malformation
C0268671	Korsakoff's psychosis (non-alcoholic)
C0026205	Miosis
C0013491	Ecchymosis
C0863079	Ocular stinging
C1261989	Hepatic enzyme decreased
C0438717	Transaminases increased
C0151826	Retrosternal pain
C0006435	Chemical burn
C0854438	Blepharal pigmentation
C0042140	Uterine prolapse
C0032787	Postoperative complications NOS
C1142420	Hepatitis B reactivation
C0151517	Atrioventricular block complete
C0854532	Myopericarditis
C0029434	Osteogenesis imperfecta
C0151824	Biliary colic
C0242979	Muscle fatigue
C0233697	Obsessive rumination
C0595861	Parasuicide
C0023648	Bullous lichen planus
C0263978	Soft tissue disorder
C0006079	Bowen's disease
C0029944	Overdose
C0032371	Poliomyelitis
C0162529	Colitis ischaemic
C0340643	Aortic dissection
C0521503	Injection site burning
C0343387	Neutropenic enterocolitis
C0392702	Abnormal involuntary movements
C0270697	Lumbar puncture headache
C0270790	Quadriparesis
C0234376	Action tremor
C0155169	Ocular hyperaemia
C0856597	Pulmonary alveolitis
C0595862	Vasodilatation
C0855217	Lack of spontaneous speech
C0002886	Anaemia macrocytic
C0016325	Fluorosis
C0577559	Mass
C1112573	Delayed orgasm
C0221152	Obstipation
C0026919	Atypical mycobacterial infection
C0496870	Benign hepatic neoplasm
C0877339	Cardio-respiratory distress
C0235338	Salivary gland pain
C0003496	Aortic rupture
C0021294	Premature baby
C0857495	Sore nose
C0085653	Pyogenic granuloma
C1610069	Circulatory depression
C0234938	Injection site abscess sterile
C0239935	Haematocrit increased
C0936223	Prostate cancer metastatic
C0221490	Epigastric distress
C0085618	Venospasm
C0232459	Digestion impaired
C0027531	Neck injury
C0848648	Fungal rash
C1318520	Vasculitis necrotising
C1384597	Acquired megacolon
C0235896	Lung infiltration
C0030554	Paraesthesia
C0039446	Telangiectasia
C1096717	Pain during injection
C0041959	Ureteritis
C0264286	Pharyngitis ulcerative
C0001707	Aerophagia
C0410916	Death neonatal
C0232197	Cardiac fibrillation
C0002891	Anaemia neonatal
C0576093	Genu valgum
C0920184	Fundic gland polyp
C0038012	Spondylitis
C0035021	Relapsing fever
C0549229	Nail discomfort
C0030848	Peyronie's disease
C0424109	Tearfulness
C1697973	Infusion site paraesthesia
C0876973	Lung infection
C0272285	Heparin-induced thrombocytopenia
C0273115	Traumatic lung injury
C1112303	Facial wasting
C0857257	Bloated feeling
C0205990	Vaginal prolapse
C0037274	Skin disorder
C0847033	Allergic oedema
C0027947	Neutropenia
C0857353	Hypotensive
C0263888	Back disorder
C0024899	Mastocytosis
C0920195	Aphakic cystoid macular oedema
C1141930	Post procedural complication
C0085660	Aseptic necrosis
C0011633	Dermatomyositis
C1442998	Colpocele
C0549357	Abdominal adhesions
C1698400	Incision site oedema
C0852970	Dacryoadenitis acquired
C0262469	Embolic stroke
C0033949	Male orgasmic disorder
C0152018	Oesophageal carcinoma
C1744601	Heart rate abnormal
C0580493	Serum albumin decreased
C0746731	Acute myocardial ischemia
C0079744	Diffuse large B-cell lymphoma
C0025281	Meniere's disease
C0020545	Renovascular hypertension
C0026751	Multiparous
C0085693	Acute appendicitis
C0008909	Claustrophobia
C0558489	Renal pain
C0521622	Bilateral hydronephrosis
C0037383	Sneezing
C0876998	Intracardiac thrombus
