C1263960	Diabetic coma
C0424109	Tearfulness
C0009421	Coma
C0854107	Haemorrhage subcutaneous
C0235906	Bronchospasm aggravated
C0857305	Thrombocytopenic purpura
C2584688	Testicular swelling
C0006370	Bulimia
C0040485	Torticollis
C0338614	Psychotic episode
C0151998	Uterine spasm
C1619712	Procedural pain
C0041969	Urethral disorder
C1608953	Intestinal diaphragm disease
C0242225	Colour blindness
C0853026	Porphyria non-acute
C0854382	Libido disorder
C0079102	Cerebral thrombosis
C0018794	Block heart
C0151810	Lack of drug effect
C0277885	Blood pressure systolic decreased
C0040479	Torsade de pointes
C0311394	Walking disability
C0151598	Drug level decreased
C1168034	Gastric pH decreased
C0948296	Ear discomfort
C0241558	Urethral haemorrhage
C0035460	Vasomotor rhinitis
C0029191	Orchitis
C0549386	Sensation of warmth
C0235280	Ototoxicity
C0439857	Dependence
C3495920	Lacrimal structural disorder
C0018801	Cardiac failure
C0422980	Oscillopsia
C0010399	Crying
C3160944	Vulvovaginal swelling
C1565662	Acute renal insufficiency
C0030354	Papilloma
C1619700	Renal aplasia
C0033036	Supraventricular extrasystoles
C0857353	Hypotensive
C0151622	Endometrial disorder
C0948085	Corneal defect
C0853326	Dyspnoea exacerbated
C0008031	Chest pain
C0151878	Electrocardiogram QT prolonged
C0027932	Neurosis
C0035333	Retinitis
C0600139	Prostate carcinoma
C0857177	Arthritic pains
C1262170	Herpes dermatitis
C0016397	Localised infection
C0269002	Penile haemorrhage
C0151605	Injection site swelling
C0242362	Intervertebral disc protrusion
C0038354	Gastric disorder
C1557335	Ocular surface disease
C0239725	Genital pain
C0743668	Limb injury
C0042994	Vulval disorder
C0023052	Laryngeal oedema
C0017411	Genital disorder female
C0231919	Nasal dryness
C1260926	Abnormal pigmentation
C0020625	Hyponatraemia
C0271308	Blepharitis allergic
C0541799	Bad taste
C0236082	Vaginal pain
C0151611	Electroencephalogram abnormal
C1262036	Ocular toxicity
C0007860	Cervicitis
C0006111	Brain disorder NOS
C0238242	Lithium toxicity
C0853924	Tinnitus aggravated
C0026838	Muscle spasticity
C0853698	Lymphocyte count increased
C0852388	Visual colour distortions
C0155305	Optic ischaemic neuropathy
C0017605	Angle closure glaucoma
C0521510	Implant site reaction
C0018946	Subdural haematoma
C0027868	Neuromyopathy
C0221185	Xanthopsia
C0854706	Neonatal infection
C1527383	Morphoea
C0031154	Peritonitis
C0033931	Psychosomatic disease
C0428982	Nodal tachycardia
C0278488	Breast cancer stage IV
